username,password,role,affix,dateOfBirth,email,firstName,lastName,specialty
Teacher1,$2a$10$lqKkZdFUe/u3NNpMsiS.Z.Yi3oCGAC7wdm.xT/lLysIkEqSwlNjma,TEACHER,,1969-12-28,teacher101@email.nl,James,Mulder,Linux
Teacher2,$2a$10$IJpfbBfvyfuPzsrqigIGXO4l4xMLkJ1Set3hRdnVzshcNWTm24K/.,TEACHER,de,1956-01-31,teacher201@email.nl,Mila,Groot,Python
Teacher3,$2a$10$9H63Eey5aTV.WjuYaSsRVuDlmYZolZ47v4IXvZHyZ/KlxYvWL.vjS,TEACHER,,1955-05-19,teacher301@email.nl,Lucas,Bos,Java
Teacher4,$2a$10$bLEkjx8dLFXm8yMzhuJiwOkdJzKnViBzfjShxsTSU6vLyeYyeblnm,TEACHER,,1976-12-10,teacher401@email.nl,Yara,Peters,Systems Engineering
Teacher5,$2a$10$YwERXDZWXrFrvgAlAEsSouqdGetFdk.BG7o6CZW0gvAL5QsSGtDhi,TEACHER,de,1990-12-28,teacher501@email.nl,Milou,Graaf,Operating Systems
Teacher001,$2a$10$t.bGxk5.zdTheie1KDjeVurqfM4vrm7tivGLmOSrLIR5z25XiGZ26,TEACHER,van,1980-02-14,teacher001@email.nl,Jan,Dijk,Mathematics
Teacher002,$2a$10$t.bGxk5.zdTheie1KDjeVurqfM4vrm7tivGLmOSrLIR5z25XiGZ26,TEACHER,de,1978-06-09,teacher002@email.nl,Petra,Vries,Finance
Teacher003,$2a$10$t.bGxk5.zdTheie1KDjeVurqfM4vrm7tivGLmOSrLIR5z25XiGZ26,TEACHER,,1985-11-21,teacher003@email.nl,Kees,Bakker,Computer Science
Teacher004,$2a$10$t.bGxk5.zdTheie1KDjeVurqfM4vrm7tivGLmOSrLIR5z25XiGZ26,TEACHER,,1982-03-17,teacher004@email.nl,Marieke,Visser,Data Science
Teacher005,$2a$10$t.bGxk5.zdTheie1KDjeVurqfM4vrm7tivGLmOSrLIR5z25XiGZ26,TEACHER,,1979-09-30,teacher005@email.nl,Rob,Kok,Cloud Computing
Teacher006,$2a$10$t.bGxk5.zdTheie1KDjeVurqfM4vrm7tivGLmOSrLIR5z25XiGZ26,TEACHER,,1983-12-05,teacher006@email.nl,Anouk,Jansen,Project Management
Teacher007,$2a$10$t.bGxk5.zdTheie1KDjeVurqfM4vrm7tivGLmOSrLIR5z25XiGZ26,TEACHER,,1977-07-12,teacher007@email.nl,Erik,Smit,Systems Engineering
Teacher008,$2a$10$t.bGxk5.zdTheie1KDjeVurqfM4vrm7tivGLmOSrLIR5z25XiGZ26,TEACHER,,1986-01-28,teacher008@email.nl,Sanne,Mulder,Software Development
Teacher009,$2a$10$t.bGxk5.zdTheie1KDjeVurqfM4vrm7tivGLmOSrLIR5z25XiGZ26,TEACHER,de,1981-05-19,teacher009@email.nl,Paul,Boer,Backend Development
Teacher010,$2a$10$t.bGxk5.zdTheie1KDjeVurqfM4vrm7tivGLmOSrLIR5z25XiGZ26,TEACHER,van,1976-10-03,teacher010@email.nl,Ingrid,Meer,UX Design
